point_of_contact,telephone_number,email,customer_since,ticker
Jill Saucedo,+15262645,jill.saucedo@utimemobile.com,2021-11-04,utme
Matelda Link,+18504663,matelda.link@acadiahealthcare.com,2013-01-20,achc
Minnaminnie Resendiz,+1177874653,m.resendiz@criver.com,2021-07-25,crl
Maryann Overton,+16231700,maryann.overton@att.com,2011-04-03,t
Kimberley Boothe,+11814048,kimberley.boothe@amphenol.com,2018-12-28,aph
Peta Leal,+1130786875,pleal@msci.com,2020-04-14,msci
Cloris Patrick,+16650265,cpatrick@bankofamerica.com,2018-02-05,bac
Bonnibelle Jablonski,+1824640422,bonnibelle.jablonski@zoetis.com,2016-09-18,zts
Evanne Hoskins,+12146763,ehoskins@synopsys.com,2005-12-20,snps
Leese Land,+1828627444,lland@cmsenergy.com,2023-08-25,cms
Chandal Newell,+16201736,chandal.newell@fleetcor.com,2020-04-07,flt
Ami Alfaro,+11307200,a.alfaro@agtc.com,2014-12-14,agtc
Blisse Hammer,+1885148373,bhammer@newlook.dteenergy.com,2020-09-24,dte
Neille Sandhu,+1506433773,neille.sandhu@investor.ralphlauren.com,2008-09-26,rl
Elva Weis,+14031507,e.weis@heico.com,2012-09-22,hei
Justina Huff,+12865121,jhuff@eversource.com,2012-08-30,es
Lib Son,+1723206811,lib.son@valero.com,2018-12-10,vlo
Hyacinthe Johansen,+1864827605,hyacinthe.johansen@ir.allegiancebank.com,2005-12-31,abtx
Belle Coulter,+14471425,b.coulter@afcgamma.com,2021-06-03,afcg
Ortensia Abdullah,+1241326141,o.abdullah@steris.com,2005-04-05,ste
Sheela Salas,+10574457,sheela.salas@costamare.com,2006-09-13,cmre
Maressa Lugo,+18731145,maressa.lugo@hiltongrandvacations.com,2006-09-23,hgv
Bellina Shipman,+11475253,bshipman@thermofisher.com,2018-07-25,tmo
Guendolen Hussein,+18744172,ghussein@paypal.com,2015-05-23,pypl
Luisa Inman,+1838543515,linman@troweprice.com,2006-07-02,trow
Verine Ivy,+18144684,verine.ivy@cfindustries.com,2022-01-15,cf
Shelli Martino,+15276002,shelli.martino@citrix.com,2021-07-15,ctxs
Hulda Whitman,+1287608384,hwhitman@ir.akoustis.com,2005-11-05,akts
Donia Briggs,+1571640860,dbriggs@corporate.oreillyauto.com,2005-03-03,orly
Annaliese Otto,+1713548657,aotto@assurant.com,2008-06-27,aiz
Jane Beaver,+15421268,jbeaver@corporate.comcast.com,2006-07-31,cmcsa
Shirlee Juan,+1754718056,shirlee.juan@ansys.com,2005-08-17,anss
Murielle Hamlin,+1620215550,murielle.hamlin@unitedrentals.com,2015-04-20,uri
Emeline Dao,+1817365302,edao@akerotx.com,2008-04-06,akro
Olivie Marvin,+12853745,olivie.marvin@investors.hpe.com,2008-11-07,hpe
Engracia Tolentino,+1826052352,etolentino@tranetechnologies.com,2011-01-04,tt
Agnella Gladden,+10824162,agnella.gladden@ametek.com,2014-09-02,ame
Julia Steffen,+1787835021,jsteffen@alkami.com,2012-11-03,alkt
Susan Vanmeter,+1563620347,svanmeter@bbwinc.com,2019-07-14,bbwi
Ariel Duque,+1305303102,ariel.duque@thecloroxcompany.com,2018-04-29,clx
Max Ali,+15440377,mali@shop.hasbro.com,2012-05-07,has
Fiona Tennant,+16653080,ftennant@truist.com,2009-04-17,tfc
Pearl Gilson,+1301386314,pgilson@adaptimmune.com,2020-06-27,adap
Shena Dell,+1707281275,sdell@afya.com.br,2010-05-02,afya
Gerrilee Pond,+13102335,gpond@cinfin.com,2019-02-15,cinf
Gerhardine Rodarte,+13715503,grodarte@aadibio.com,2015-12-13,aadi
Candra Mcfarlane,+13218524,c.mcfarlane@eogresources.com,2014-06-02,eog
Ailsun Castle,+1122236802,acastle@howmet.com,2010-04-17,hwm
Catharina Givens,+16034220,catharina.givens@alliantenergy.com,2022-08-25,lnt
Danna Barbosa,+18633506,dbarbosa@amd.com,2010-11-19,amd
Aeriell Rueda,+1842142057,aeriell.rueda@sitime.com,2012-11-01,sitm
Isis Staley,+16517700,isis.staley@vno.com,2016-03-21,vno
Beverlie Conn,+10466631,beverlie.conn@zionsbank.com,2015-10-07,zion
Roshelle Sommer,+17641762,rsommer@huntingtoningalls.com,2016-09-16,hii
Birdie Queen,+1435371618,birdie.queen@allegiantair.com,2013-09-27,algt
Juliana Christman,+16833217,juliana.christman@franklinresources.com,2008-06-27,ben
Nanny Lomeli,+1616008863,nlomeli@apacorp.com,2021-09-16,apa
Verine Mccloskey,+1772001161,verine.mccloskey@tylertech.com,2022-03-18,tyl
Madelin Du,+1551208480,mdu@nrg.com,2016-04-25,nrg
Brett Hodgson,+10775031,brett.hodgson@agmprime.com,2019-03-29,agmh
Kesley Munoz,+14847668,kmunoz@pnfp.com,2012-02-08,pnfp
Loreen Lor,+1018686278,llor@textron.com,2009-04-20,txt
Pavla Dodd,+1771802348,pavla.dodd@qorvo.com,2021-01-16,qrvo
Trula Sharkey,+1144077338,tsharkey@usio.com,2005-11-10,usio
Kynthia Tallman,+11081871,ktallman@up.com,2014-10-21,unp
Pavia Santos,+1830104410,pavia.santos@lambweston.com,2006-08-21,lw
Ileana Logan,+1721880576,i.logan@hain.com,2013-06-10,hain
Thekla Bustamante,+1202738583,thekla.bustamante@centurylink.com,2008-01-30,lumn
Carmela Armijo,+18336320,carmela.armijo@nisource.com,2022-06-30,ni
Raquela Mccrary,+1551000763,r.mccrary@aldeyra.com,2008-05-19,aldx
Coleen Traylor,+16025026,ctraylor@poolcorp.com,2010-08-11,pool
Krystyna Akins,+1277238576,k.akins@gd.com,2016-07-31,gd
Orelia Vang,+1466822517,o.vang@biogen.com,2020-11-16,biib
Meggi Herbst,+16561666,meggi.herbst@cnoinc.com,2020-03-10,cno
Kira Ouellette,+13144517,kira.ouellette@bd.com,2012-05-14,bdx
Calida Barger,+1865576770,calida.barger@yallagroup.com,2021-04-08,yala
Mavis Zamudio,+10856387,mzamudio@haynesintl.com,2021-11-03,hayn
Jolene Farr,+12608382,jfarr@perdoceoed.com,2016-02-24,prdo
Lynnea Huynh,+1124625188,lynnea.huynh@yext.com,2014-06-16,yext
Alikee Brownlee,+1830181258,a.brownlee@coca-colacompany.com,2017-09-02,ko
Linda Cummins,+10525085,linda.cummins@3m.com,2015-04-25,mmm
Lauretta Close,+15248711,lclose@expeditors.com,2019-06-28,expd
Melisent Canfield,+1773175548,melisent.canfield@xiaoyinggroup.com,2014-01-23,xyf
Julee Muse,+11120546,julee.muse@lamresearch.com,2020-07-27,lrcx
Crystal Mccarter,+18721330,cmccarter@home24bank.com,2012-04-26,hbcp
Annora Crist,+18761246,annora.crist@gyrodyne.com,2023-05-02,gyro
Odele Schenk,+1111226850,o.schenk@horizonbank.com,2008-05-19,hbnc
Christabel Shackelford,+14023283,christabel.shackelford@alleghany.com,2018-08-25,y
Cari Sizemore,+12401324,csizemore@digitalrealty.com,2008-01-07,dlr
Virgina Worley,+11133460,vworley@ir.alliedesportsent.com,2014-09-23,aese
Annmarie Luong,+16747471,annmarie.luong@53.com,2012-09-04,fitb
Cora Cecil,+13233111,c.cecil@synchrony.com,2011-09-01,syf
Sisile Campos,+15172224,scampos@porchgroup.com,2014-06-22,prch
Randie Reiss,+12543768,randie.reiss@graniteconstruction.com,2009-10-15,gva
Crin Reeder,+13171854,crin.reeder@publicstorage.com,2005-10-07,psa
Cristi Pardo,+10380116,cpardo@cardinalhealth.com,2019-02-22,cah
Jerrine Bear,+16412488,jbear@healthcatalyst.com,2021-06-23,hcat
Kimberlee Diaz,+12525172,kdiaz@lightningemotors.com,2008-04-18,zev
Tiffi Godfrey,+17003163,tgodfrey@fiserv.com,2021-06-09,fisv
Barbaraanne Cash,+11753413,bcash@essexapartmenthomes.com,2016-07-24,ess
Fredelia Pollock,+18475034,fredelia.pollock@acertx.com,2009-07-30,acer
Donielle Schoen,+18885730,dschoen@equityapartments.com,2006-03-29,eqr
Prissie Martino,+1586061865,p.martino@allegion.com,2021-09-09,alle
Lee Greenlee,+15102637,l.greenlee@borgwarner.com,2019-01-19,bwa
Joanna Ring,+14742674,jring@achievelifesciences.com,2016-08-11,achv
Raina Rahman,+11667452,rrahman@procept-biorobotics.com,2013-04-11,prct
Jacquenetta Randle,+1470326300,jrandle@everestre.com,2015-10-29,re
Evania Speed,+15310324,e.speed@acumenpharm.com,2018-08-26,abos
Dari Higgs,+1838342831,dhiggs@maxcyte.com,2017-02-09,mxct
Georgine Welker,+1378422306,georgine.welker@agriforcegs.com,2019-02-25,agri
Natividad Clarke,+1061346611,natividad.clarke@xpo.com,2007-02-21,xpo
Nicole Thurman,+1860345760,nthurman@wynnresorts.com,2010-10-05,wynn
Eveline Lightfoot,+1766303767,eveline.lightfoot@absci.com,2016-11-09,absi
Anthe Mowery,+1555255343,amowery@healthassuranceacqcorp.com,2017-08-14,haac
Marni Pogue,+17714405,marni.pogue@nxp.com,2008-09-07,nxpi
Cherry Kowalski,+15740430,ckowalski@copart.com,2017-10-21,cprt
Alvina Xu,+1588374073,alvina.xu@wm.com,2012-06-11,wm
Ethel Rader,+1732503544,e.rader@citizensbank.com,2006-05-11,cfg
Eolande Parisi,+1603527015,eparisi@extraspace.com,2018-05-29,exr
Aggi Causey,+13342448,aggi.causey@tesla.com,2021-09-10,tsla
Kaitlin Creel,+1701470487,k.creel@regions.com,2012-03-23,rf
Petronella Dial,+18453753,pdial@genpt.com,2022-10-06,gpc
Aaren Stark,+10722081,a.stark@wolverineworldwide.com,2023-04-29,www
Lotta Vuong,+15807013,lvuong@aligntech.com,2021-11-08,algn
Mariellen Leighton,+1206541130,mariellen.leighton@dollartree.com,2005-05-31,dltr
Etheline Lance,+12272132,elance@alliedhpi.com,2016-03-16,ahpi
Amabelle Cedeno,+1816583383,a.cedeno@whirlpoolcorp.com,2013-05-25,whr
Perla Hollingsworth,+17432864,phollingsworth@dominos.com,2010-09-01,dpz
